Target1,Target2,Mean
sci.med,comp.os.ms-windows.misc,5.751889027900563e-07
sci.med,comp.sys.ibm.pc.hardware,6.264515965917138e-07
sci.med,comp.sys.mac.hardware,6.344814478235022e-07
sci.med,comp.windows.x,5.74780669406522e-07
sci.med,misc.forsale,5.199020919258113e-07
sci.med,rec.autos,6.893298582335717e-07
sci.med,rec.motorcycles,6.674804397439691e-07
sci.med,rec.sport.baseball,6.592208963014444e-07
sci.med,rec.sport.hockey,6.094021826658981e-07
sci.med,sci.crypt,7.978934851655404e-07
sci.med,sci.electronics,6.716587195471466e-07
sci.med,sci.med,1.4644675736521232e-06
sci.med,sci.space,7.302267593787319e-07
sci.med,soc.religion.christian,8.123858503072453e-07
sci.med,talk.politics.guns,8.258694308112334e-07
sci.med,talk.politics.mideast,7.071176979488718e-07
sci.med,talk.politics.misc,8.659653423911129e-07
sci.med,talk.religion.misc,7.703407411237411e-07
sci.space,alt.atheism,7.82190741507948e-07
sci.space,comp.graphics,6.904537316161038e-07
sci.space,comp.os.ms-windows.misc,6.245857856896853e-07
sci.space,comp.sys.ibm.pc.hardware,6.477242847023135e-07
sci.space,comp.sys.mac.hardware,6.726050157998941e-07
sci.space,comp.windows.x,6.322767825307646e-07
sci.space,misc.forsale,5.89889035405115e-07
sci.space,rec.autos,7.543793882320572e-07
sci.space,rec.motorcycles,6.993712758434486e-07
sci.space,rec.sport.baseball,6.8768305923802e-07
sci.space,rec.sport.hockey,6.695104373297273e-07
sci.space,sci.crypt,8.790361031332144e-07
sci.space,sci.electronics,7.476570104055906e-07
sci.space,sci.med,7.302267593787316e-07
sci.space,sci.space,1.7286622400511552e-06
sci.space,soc.religion.christian,7.392558437967723e-07
sci.space,talk.politics.guns,8.547309460903719e-07
sci.space,talk.politics.mideast,7.076549978026888e-07
sci.space,talk.politics.misc,8.588944214773964e-07
sci.space,talk.religion.misc,7.481125916541173e-07
soc.religion.christian,alt.atheism,1.5769473347613582e-06
soc.religion.christian,comp.graphics,6.031237593597939e-07
soc.religion.christian,comp.os.ms-windows.misc,5.631492597421066e-07
soc.religion.christian,comp.sys.ibm.pc.hardware,6.014242858266846e-07
soc.religion.christian,comp.sys.mac.hardware,6.087677574400142e-07
soc.religion.christian,comp.windows.x,5.564641121272753e-07
soc.religion.christian,misc.forsale,4.790281504345914e-07
soc.religion.christian,rec.autos,7.328155427562266e-07
soc.religion.christian,rec.motorcycles,6.915307593931751e-07
soc.religion.christian,rec.sport.baseball,6.952317494780524e-07
soc.religion.christian,rec.sport.hockey,6.761310464843996e-07
soc.religion.christian,sci.crypt,8.775869786075931e-07
soc.religion.christian,sci.electronics,6.498141600789816e-07
soc.religion.christian,sci.med,8.123858503072449e-07
soc.religion.christian,sci.space,7.392558437967723e-07
soc.religion.christian,soc.religion.christian,2.34866645961329e-06
soc.religion.christian,talk.politics.guns,1.0074035175159977e-06
soc.religion.christian,talk.politics.mideast,9.596746804895558e-07
soc.religion.christian,talk.politics.misc,1.031084573429221e-06
soc.religion.christian,talk.religion.misc,1.7388578383889422e-06
talk.politics.guns,alt.atheism,1.0896447910243906e-06
talk.politics.guns,comp.graphics,6.394231824657105e-07
talk.politics.guns,comp.os.ms-windows.misc,6.375175951508552e-07
talk.politics.guns,comp.sys.ibm.pc.hardware,6.827208086544136e-07
talk.politics.guns,comp.sys.mac.hardware,7.026663729117268e-07
talk.politics.guns,comp.windows.x,6.044292556939144e-07
talk.politics.guns,misc.forsale,6.112681485944121e-07
talk.politics.guns,rec.autos,9.152673331594238e-07
talk.politics.guns,rec.motorcycles,8.376676549091125e-07
talk.politics.guns,rec.sport.baseball,8.108184177668763e-07
talk.politics.guns,rec.sport.hockey,7.690478890291706e-07
talk.politics.guns,sci.crypt,1.168025575520153e-06
talk.politics.guns,sci.electronics,7.535374374861401e-07
talk.politics.guns,sci.med,8.258694308112332e-07
talk.politics.guns,sci.space,8.547309460903716e-07
talk.politics.guns,soc.religion.christian,1.0074035175159977e-06
talk.politics.guns,talk.politics.guns,2.4036234638162452e-06
talk.politics.guns,talk.politics.mideast,1.0532894339991305e-06
talk.politics.guns,talk.politics.misc,1.2892100320157693e-06
talk.politics.guns,talk.religion.misc,1.1278912982715941e-06
talk.politics.mideast,alt.atheism,1.0064919490039583e-06
talk.politics.mideast,comp.graphics,5.31798965031957e-07
talk.politics.mideast,comp.os.ms-windows.misc,5.110769498451276e-07
talk.politics.mideast,comp.sys.ibm.pc.hardware,5.491332081431847e-07
talk.politics.mideast,comp.sys.mac.hardware,5.685186132340453e-07
talk.politics.mideast,comp.windows.x,5.06678854791025e-07
talk.politics.mideast,misc.forsale,4.760819508403829e-07
talk.politics.mideast,rec.autos,6.93775171417201e-07
talk.politics.mideast,rec.motorcycles,6.506522902815352e-07
talk.politics.mideast,rec.sport.baseball,6.790771207686829e-07
talk.politics.mideast,rec.sport.hockey,6.437563965659745e-07
talk.politics.mideast,sci.crypt,8.778828607747775e-07
talk.politics.mideast,sci.electronics,5.830667002700175e-07
talk.politics.mideast,sci.med,7.07117697948872e-07
talk.politics.mideast,sci.space,7.076549978026888e-07
talk.politics.mideast,soc.religion.christian,9.596746804895556e-07
talk.politics.mideast,talk.politics.guns,1.0532894339991305e-06
talk.politics.mideast,talk.politics.mideast,2.5609404393274695e-06
talk.politics.mideast,talk.politics.misc,1.0569687332361958e-06
talk.politics.mideast,talk.religion.misc,9.708328299262945e-07
talk.politics.misc,alt.atheism,1.1002643464491067e-06
talk.politics.misc,comp.graphics,6.181434069390249e-07
talk.politics.misc,comp.os.ms-windows.misc,6.159207462035526e-07
talk.politics.misc,comp.sys.ibm.pc.hardware,6.477514841285295e-07
talk.politics.misc,comp.sys.mac.hardware,6.77323159262595e-07
talk.politics.misc,comp.windows.x,5.896499484285785e-07
talk.politics.misc,misc.forsale,6.061961671302826e-07
talk.politics.misc,rec.autos,8.519855028601778e-07
talk.politics.misc,rec.motorcycles,7.999547296547126e-07
talk.politics.misc,rec.sport.baseball,7.961535047899474e-07
talk.politics.misc,rec.sport.hockey,7.842422004223751e-07
talk.politics.misc,sci.crypt,1.131181868021694e-06
talk.politics.misc,sci.electronics,7.090598159027786e-07
talk.politics.misc,sci.med,8.65965342391113e-07
talk.politics.misc,sci.space,8.588944214773962e-07
talk.politics.misc,soc.religion.christian,1.0310845734292213e-06
talk.politics.misc,talk.politics.guns,1.2892100320157695e-06
talk.politics.misc,talk.politics.mideast,1.0569687332361958e-06
talk.politics.misc,talk.politics.misc,1.734066780051664e-06
talk.politics.misc,talk.religion.misc,1.0476386856317252e-06
talk.religion.misc,alt.atheism,1.5027782910908656e-06
talk.religion.misc,comp.graphics,5.999948656624842e-07
talk.religion.misc,comp.os.ms-windows.misc,5.693349218599169e-07
talk.religion.misc,comp.sys.ibm.pc.hardware,6.122890897755063e-07
talk.religion.misc,comp.sys.mac.hardware,6.225803517492655e-07
talk.religion.misc,comp.windows.x,5.647246410289015e-07
talk.religion.misc,misc.forsale,5.131291935204089e-07
talk.religion.misc,rec.autos,7.452784528774985e-07
talk.religion.misc,rec.motorcycles,7.14118546875634e-07
talk.religion.misc,rec.sport.baseball,7.362799783854157e-07
talk.religion.misc,rec.sport.hockey,6.781392684399472e-07
talk.religion.misc,sci.crypt,9.213185819531756e-07
talk.religion.misc,sci.electronics,6.421925656758426e-07
talk.religion.misc,sci.med,7.703407411237408e-07
talk.religion.misc,sci.space,7.481125916541173e-07
talk.religion.misc,soc.religion.christian,1.7388578383889422e-06
talk.religion.misc,talk.politics.guns,1.127891298271594e-06
talk.religion.misc,talk.politics.mideast,9.708328299262945e-07
talk.religion.misc,talk.politics.misc,1.0476386856317254e-06
talk.religion.misc,talk.religion.misc,1.7066915132630875e-06
